ensgid,gene_name,Subsystem,category.HPA,tissues.HPA,category.GTEx,tissues.GTEx,fpkm.HPA.adrenal,fpkm.HPA.appendices,fpkm.HPA.bonemarrow,fpkm.HPA.brain,fpkm.HPA.colon,fpkm.HPA.duodenum,fpkm.HPA.endometrium,fpkm.HPA.esophagus,fpkm.HPA.fallopiantube,fpkm.HPA.fat,fpkm.HPA.gallbladder,fpkm.HPA.heart,fpkm.HPA.kidney,fpkm.HPA.liver,fpkm.HPA.lung,fpkm.HPA.lymphnode,fpkm.HPA.ovary,fpkm.HPA.pancreas,fpkm.HPA.placenta,fpkm.HPA.prostate,fpkm.HPA.rectum,fpkm.HPA.salivarygland,fpkm.HPA.skeletalmuscle,fpkm.HPA.skin,fpkm.HPA.smallintestine,fpkm.HPA.smoothmuscle,fpkm.HPA.spleen,fpkm.HPA.stomach,fpkm.HPA.testis,fpkm.HPA.thyroid,fpkm.HPA.tonsil,fpkm.HPA.urinarybladder,fpkm.GTEx.adipose,fpkm.GTEx.adrenal,fpkm.GTEx.artery,fpkm.GTEx.bladder,fpkm.GTEx.blood,fpkm.GTEx.brain.cerebellum,fpkm.GTEx.brain.cerebrum,fpkm.GTEx.breast,fpkm.GTEx.cervix,fpkm.GTEx.colon,fpkm.GTEx.esophagus,fpkm.GTEx.fallopiantube,fpkm.GTEx.heart,fpkm.GTEx.kidney,fpkm.GTEx.liver,fpkm.GTEx.lung,fpkm.GTEx.nerve,fpkm.GTEx.ovary,fpkm.GTEx.pancreas,fpkm.GTEx.pituitary,fpkm.GTEx.prostate,fpkm.GTEx.skeletalmuscle,fpkm.GTEx.skin,fpkm.GTEx.smallintestine,fpkm.GTEx.spleen,fpkm.GTEx.stomach,fpkm.GTEx.testis,fpkm.GTEx.thyroid,fpkm.GTEx.uterus,fpkm.GTEx.vagina,geneID
ENSG00000065882,TBC1D1,Trafficking regulation,Expressed in all,,Expressed in all,,9.45,33.28,33.16,12.08,24.13,22.46,82.56,18.2,50.25,20.95,43.04,30.33,50.41,8.83,21.33,46.04,17.11,5.87,35.08,19.18,23.21,10.87,26.19,4.1,21.57,75.12,35.45,12.26,47.58,51.21,34.9,45.2,9.77,2.27,25.62,22.6,10.37,5.69,5.05,7.15,21.64,16.43,3.29,23.75,14.34,23.76,3.92,10.44,6.24,7.71,3.91,7.39,11.93,16.34,4,15.55,13.19,13.55,13.96,18.01,51.06,11.87,23216
ENSG00000174227,PIGG,GPI biosynthesis,Expressed in all,,Expressed in all,,9.75,10.4,4.46,7.26,9.55,10.32,9.1,7.42,10.76,7.53,11.81,3.03,6.53,2.88,10.79,9.96,10.11,2.76,10.5,9.56,8.97,5.74,1.4,11.22,8.89,7.49,10.54,9.85,8.82,13.14,7.91,10.62,6.28,6.78,4.87,8.05,2.67,7.26,3.63,8.17,6.26,6.69,4.87,6.52,2.4,4.6,3.04,6.61,7.5,8.28,3.83,7.15,7.98,1.99,7.19,7.23,7.44,5.79,6.17,8.8,6.85,6.25,54872
ENSG00000092531,SNAP23,Post-Golgi trafficking,Expressed in all,,Expressed in all,,23.26,53.83,15.77,10.53,37.06,35.04,37.14,24.3,29.21,28.11,36.24,19.98,28.87,14.77,37.09,66.55,26.3,4.28,53.66,41.29,40.86,19.62,9.42,16.48,39.94,38,48.48,26.52,35.94,27.58,60.46,40.47,17.65,14.36,18.61,15.02,21.18,4.88,5.91,17.08,15.52,14.82,10,17.67,9.8,10.33,7.83,19.52,14.39,14.88,7.09,6.89,17.86,11.67,10.38,17.74,24.9,12.7,17.3,12.98,19.55,12.55,8773
ENSG00000101310,SEC23B,COPII,Expressed in all,,Expressed in all,,29.48,25.79,14.97,23.23,24.64,16.2,13.6,19.93,26.56,12.28,20.18,3.92,24.51,11.19,21.13,23.38,12.16,10.4,17.48,28.46,24.62,29.69,0.89,11.96,16.19,13.28,18.8,26.35,32.23,50.29,28.59,20.36,8.31,27.48,7.12,8.45,9.33,10.09,10.4,12.87,11.22,13.11,15.58,10.37,3.33,13.64,12.04,16.96,10.24,8.96,19.51,25.54,14.04,1.76,11.07,10.79,15.29,15.83,20.89,16.53,7.56,10.71,10483
ENSG00000168118,RAB4A,Post-Golgi trafficking,Expressed in all,,Expressed in all,,11.5,7.45,3.82,15.48,14.73,13.4,12.59,14.91,16.18,8.42,14.94,20.85,11.89,10.44,9.83,9.7,13.72,5.66,8.82,33.22,16.37,18.96,9.35,12.4,11.41,11.72,6.15,14.27,12.14,18.46,10.22,16.87,15.45,13.38,16.86,21.87,4.12,20.47,19.1,18.36,15.56,18.93,14.99,12.53,19.47,11.16,12.91,10.73,16.57,14.04,16.5,13.94,21.69,13.93,19.85,12.43,8.26,31.62,19.9,13.56,11.68,15.67,5867
ENSG00000122705,CLTA,Post-Golgi trafficking,Expressed in all,,Expressed in all,,80.98,69.58,35.87,81.74,107.96,76.56,70.19,52.11,106.28,73.26,64.46,24.66,80.74,34.46,69.75,69.84,99.35,15.3,103.21,79.94,91.32,39.48,12.94,46.19,72.77,70.31,65.87,76.61,58.58,83.84,76.77,70.4,45.13,55.12,41.79,47.83,17.61,46.66,41.15,47.71,59.22,52.24,49.67,51.07,15.45,56.53,25.2,45.76,40.52,66.39,30.27,46.89,49.92,11.02,44.12,44.07,56.97,44.24,47.02,52.13,55.01,48.88,1211
ENSG00000174903,RAB1B,Post-Golgi trafficking,Expressed in all,,Expressed in all,,61.48,54.91,37.5,48.39,72.59,61.63,52.37,95.29,86.16,69.65,65.62,52.01,44.88,20.94,81.73,58.97,60.97,16.85,68.54,83.75,57.04,46.74,47.57,67.18,63.89,56.87,65.84,69.35,40.98,71.99,55.13,72.26,95.19,102.6,91.46,93.81,128.82,65.34,59.74,93.75,93.62,110.81,109.25,85.31,64.5,92.84,57.45,97.97,104.78,87.59,46.34,104.65,133.26,78.78,115.39,89.34,118.57,93.24,92.65,103.28,94.39,98.29,81876
ENSG00000168899,VAMP5,Post-Golgi trafficking,Expressed in all,,Expressed in all,,53.57,49.46,20.58,16.46,20.15,16.37,29.42,32.71,50.95,55.3,52.32,43.02,20.46,23.74,82.69,70.57,31.63,4.07,59.42,31.72,16.34,9,53.35,19.12,22.34,59.97,59.16,14.67,8.2,23.01,32,61.01,70.05,75.87,40.43,44.9,33.33,8.19,24.98,55.88,53.95,23.87,24.1,63.41,35.44,49.12,29.03,87.07,62.15,36.76,12.16,19.5,51.05,43.1,31.59,37.26,84.01,30.93,10.56,48.12,56.44,53.18,10791
ENSG00000121879,PIK3CA,Trafficking regulation,Expressed in all,,Expressed in all,,6.78,7.45,5.93,6.29,4,2.93,7.3,6.3,5.14,9.29,7.79,4.52,5.29,2.49,6.15,7.76,7.72,0.98,6.82,5.12,4.47,1.79,1.59,4.31,3.51,6,6.46,3.74,5.16,5.71,6.75,6.47,8.66,4.23,6.94,6.36,2.66,4.04,2.06,6.9,4.75,3.05,3.77,4.47,2.7,1.99,1.67,5.38,6.45,4.64,1.83,2.78,3.52,3.6,4.52,3.61,3.37,3.35,3.55,4.46,5.23,4.84,5290
ENSG00000055130,CUL1,ERAD,Expressed in all,,Expressed in all,,23.8,27.77,16.25,23.88,19.44,17.95,26.26,25.57,25.47,19.91,23.75,19.77,16.62,17.63,23.87,34.83,26.54,5.44,27.43,24.48,21.23,11.83,18.25,19.3,20.06,27.72,24.99,17.74,99.17,26.29,30.26,30.45,24.17,19.58,23.94,27.55,5.88,23.56,18.02,23.84,24.98,18.17,16.88,24.99,15.33,11.5,16.43,19.62,20.43,21.8,8.98,23.74,22.1,31.45,19.44,20.76,20.51,20.28,75.95,20.87,23.6,20.12,8454
ENSG00000148396,SEC16A,COPII,Expressed in all,,Expressed in all,,9.36,13.78,14.37,8.34,12.63,10.37,10.42,9.33,12.36,9.73,11.55,5.12,6.25,5.58,13.44,13.7,10.62,6.53,10,14.06,8.25,11.49,4.26,13.1,10.48,8.68,15.1,21.31,13.79,12.5,10,13.47,10.5,10.82,10.3,10.67,6.32,15.11,6,13.34,12.16,11.44,9.03,11.89,5.79,8.44,16.63,13.5,11.42,11.67,10.45,23.45,16.64,7.27,12.38,12.91,14.62,15.66,16.3,12.63,12.01,10.3,9919
ENSG00000121749,TBC1D15,Trafficking regulation,Expressed in all,,Expressed in all,,26.66,17.88,23.87,15.98,14.93,14.65,23.28,15.35,17.25,20.74,24.1,9.69,20.24,13.85,20.86,22.01,20.95,5.96,19.14,18.27,14.65,12.33,4.11,11.38,17.78,17.85,18.57,13.14,23.19,27.87,19.33,19.81,12.02,10.4,7.43,6.83,5.58,7.5,5.62,12.31,9.18,5.02,4.49,7.17,3.79,4.66,5.11,9.83,9.74,8.16,6.34,7.9,7.5,9.56,7.68,6.65,8.12,6.29,9.65,9.09,7.56,7.28,64786
ENSG00000167461,RAB8A,Post-Golgi trafficking,Expressed in all,,Expressed in all,,13.85,28.23,26,8.1,26.6,33.84,13.58,13.61,24.3,12.93,16.6,4.98,12.24,14.31,20.36,28.19,14.3,4.27,17.52,13.86,19.9,12.18,1.39,12.94,36.21,15.44,29.26,22.03,12.76,12.16,27.99,19.46,7.67,10.83,8.06,9.87,16.11,5.83,4.18,7.98,8.3,12.21,8.94,8.16,2.56,6.95,7.36,9.62,7.37,7.96,4.31,6.46,7.28,1.26,8.72,11.2,10.9,7.81,7.39,7.49,8.16,8.27,4218
ENSG00000133103,COG6,Trafficking regulation,Expressed in all,,Mixed,,9.72,9.04,1.46,9.27,8.7,8.42,9.23,8.93,10.67,6.76,10.99,8.89,8.12,3.11,6.73,7.09,12.25,4.33,10.78,10.45,8.1,6.86,1.74,7.39,8.58,6.99,5.81,10.02,17.75,13.5,6.85,11.51,2.68,3.59,2.74,3.14,0.48,5.3,2.87,3.28,3.11,2.49,2.39,2.55,2.01,1.88,1.4,2.17,2.52,3.21,2.89,7.5,2.51,1.22,2.19,2.46,2.06,2.51,5.15,3.38,3.03,2.69,57511
ENSG00000100387,RBX1,ERAD,Expressed in all,,Expressed in all,,30.14,29.23,29.5,26.73,27.2,17.86,22.13,25.41,28.25,23.21,20.58,29.8,28.62,12,27.12,35.05,18,3.86,32.81,32.43,25.52,13.77,18.89,20.65,19.57,25.24,27.35,22.54,19.1,23.51,40.13,25.35,6.69,7.75,6.37,5.99,4.05,7.53,9.02,6.94,8.93,5.58,7.92,6.46,6.5,7.49,3.38,7.3,8.09,4.78,2.46,5.99,6.8,5.32,7.89,6.46,6.47,5.79,6.05,7.09,6.35,7.07,9978
ENSG00000143641,GALNT2,Golgi glycosylation,Expressed in all,,Expressed in all,,29.11,29.7,7.47,16.05,18.63,14.19,15.15,15.98,22.65,23.97,21.3,12.96,11.04,17.54,17.35,11.78,32.97,13.99,27.83,14.28,10.21,7.97,14.89,10.7,14.83,20.16,14.65,16.53,21.03,17.64,9.24,25.56,15.29,28.51,27.08,11.99,10.84,6.27,7.01,9.07,14.91,12.03,9.02,13.51,7.77,10.67,44.75,15.4,20.52,21.22,20.47,9.35,15.59,16.19,7.59,13.57,11.34,15.82,15.34,11.4,13.43,11.72,2590
ENSG00000017797,RALBP1,Trafficking regulation,Expressed in all,,Expressed in all,,16.08,20.18,13.55,20.38,22.39,13.43,18.11,34.24,24.57,19.84,18.25,14.09,28.97,7.05,19.8,18.56,20.49,2.81,23.03,26.39,19.75,10.18,9.36,37.39,14.37,17.12,19.52,18.71,11.88,19.46,19.77,31.41,16.28,11.99,16.64,22.35,15.67,17.16,13.88,15.45,14.42,13.82,22.91,11.79,8.89,14.03,5.32,11.96,23.01,11.33,4.7,11,13.47,10.67,36.77,10.48,11.31,10.66,7.45,11.71,12.8,16.31,10928
ENSG00000139436,GIT2,Trafficking regulation,Expressed in all,,Expressed in all,,12.6,23.32,29.73,9.42,9.32,7.83,13.41,9.72,11.11,10.71,15.73,9.77,7.23,4.15,13,28.59,15.77,3.56,16.96,9.21,11.75,6.73,3.87,9.67,10.03,17.56,28.81,8.47,14.97,15.7,27.69,17.6,5,5.22,4.2,5.2,12.01,7.72,2.89,5.04,4.74,3.53,2.94,4.15,2.77,2.58,1.73,6.13,5.39,6.07,4.18,4.19,4.18,2.32,3.95,5.93,9.37,3.21,4.45,5.47,4.74,4.66,9815
ENSG00000108474,PIGL,GPI biosynthesis,Expressed in all,,Expressed in all,,4.95,4.89,4.01,4.53,6.4,7.74,7.74,4.64,9.72,4.78,7.59,2.64,4.83,3.17,4.87,7.98,9.06,1.89,5.81,6.81,7.97,3.48,0.93,10.09,7.29,6.29,5.2,5.5,8.01,11.66,8.11,7.36,4.99,3.29,3.11,3.72,0.78,2.42,1.69,7.53,4.21,3.94,2.59,3.94,1.13,3.06,2.79,3.6,5.34,4.09,3.04,5.08,5.26,0.97,6.34,4.04,3.13,4.44,4.12,5.27,4.31,4.28,9487
ENSG00000100359,SGSM3,Trafficking regulation,Expressed in all,,Expressed in all,,18.29,22.55,11.65,17.99,25.08,24.22,15.86,20.1,27.7,12.01,30,10.71,9.15,4.53,18.41,28.18,10.93,14.46,21.98,29.1,20.53,34.32,8.64,20.55,23.32,15.13,28.5,58.04,18.83,21.02,23.86,23.5,19.37,36.9,20.15,34.59,14.95,52.25,23.16,39.13,36.33,50.23,35.34,32.87,17.31,28.55,17.89,31.61,28.98,34,52.2,78.14,75.62,12.31,28.98,47.88,55.88,71.3,53,50.34,35.44,35.7,27352
ENSG00000178234,GALNT11,Golgi glycosylation,Expressed in all,,Expressed in all,,21.51,13.4,5.61,29.37,14.91,10.43,23.39,25.42,24.45,23.65,27.5,14.89,167.03,7.33,23.56,13.97,24.13,17.12,39.45,28.89,15.09,11.5,7.45,16.36,10.94,20.9,17.17,15.75,12.1,32.38,15.03,29.81,8.89,7.74,6.88,11.63,1.74,11.46,11.81,10.46,9.53,5.46,6.97,8.42,4.73,21.11,3.1,8.36,8.35,9.6,10.44,11.48,9.59,3.73,6.7,5.93,6.73,6.82,5.87,10.45,8.89,10.72,63917
ENSG00000151092,NGLY1,ERAD,Expressed in all,,Expressed in all,,13.72,14.76,8.87,6.87,14.08,10.75,9.5,11.53,11.73,8.71,10.7,8.6,13.31,8.28,10.06,22.46,10.01,4.12,10.35,12.95,17.35,7.55,12.35,7.68,12.39,9.82,12.47,11.95,59.33,13.38,21.59,15.81,9.47,11.13,7.46,9.3,10.22,14.81,6.48,11.02,7.9,11.66,8.35,8.12,8.92,7.7,11.53,10.33,8.69,8.99,8.54,8.17,11.58,19.48,7.84,12.67,17.48,9.74,43.76,10.04,8.11,9.44,55768
ENSG00000065491,TBC1D22B,Trafficking regulation,Expressed in all,,Expressed in all,,7.01,4.44,8.73,4.5,5.25,5.72,5.62,7.49,8.44,3.1,5.82,2.9,5.62,1.19,5.55,4.8,5.28,2.77,4.75,4.79,6.25,5.44,1.63,6.76,6.41,5.58,4.4,3.6,10.37,7.13,5.87,5.53,4.4,9.66,5.37,5.92,3.71,7.36,4.37,6.6,5.96,5.42,8.95,5.75,3.74,5.99,2.56,6.29,4.69,8.32,4.16,6.34,7.99,6.51,11.82,6.11,6,5.36,11.35,7.46,6.24,7.01,55633
ENSG00000139921,TMX1,Protein folding,Expressed in all,,Expressed in all,,8.22,11.12,6.06,5.19,11.67,9.09,8.89,8.29,7.99,8.62,9.41,2.34,8.29,4.76,8.24,11.83,6.09,1.38,10.8,8.29,11.67,4.47,0.88,7.82,8.31,9.49,9.16,8.35,5.86,11.5,9.9,13.53,13.48,13.9,9.32,11.06,5.31,5.44,5.66,11.7,10.2,12.76,11.51,9.87,4.02,6.28,7.28,11.66,10.92,7.96,7.99,8.87,8.68,4.37,7.74,10.73,11.36,9.76,7.84,12.87,10.05,10.3,81542
ENSG00000131508,UBE2D2,ERAD,Expressed in all,,Expressed in all,,41.26,62.05,64.24,63.4,81.03,43.9,78.38,75.9,132.05,57.99,61.97,44.53,57.7,33.73,51.96,90.14,53.25,11.91,54.1,53.17,86.88,22.89,46.45,37.02,49.08,72.8,64.8,47.91,138.97,65.15,134.54,81.55,23.05,18.65,24.53,23.37,16.36,22.27,26.78,22.73,28.77,23.68,23.52,26.78,17.86,19.94,10.26,22.81,26.22,22.1,12.37,26.26,21.39,25.27,22.34,21.19,24.26,19.27,49.86,24.04,24.97,25.01,7322
ENSG00000030110,BAK1,ER calcium.homeostasis,Expressed in all,,Expressed in all,,9.59,12.48,9.79,3.3,17.32,23.38,4.16,9.88,4.51,4.83,6.88,4.79,4.64,1.81,6.15,11.98,2.91,1.48,6.35,3.9,14.73,2.97,3.59,6.63,18.48,7.48,10.67,12.52,3.56,2.88,14.32,12.11,5.01,17.15,5.2,7.2,12.49,4.94,3.59,5.18,5.49,28.48,15.06,6.46,8.1,9.22,3.78,9.26,6.71,4.91,4.96,8.63,8.88,4.88,11.78,19.5,20.67,9.66,6.89,5.84,6.35,7.45,578
ENSG00000132388,UBE2G1,ERAD,Expressed in all,,Expressed in all,,14.72,22.51,14.71,19.5,20.45,17.37,16.58,36.18,17.12,15.62,15.85,19.03,20.33,11.6,13.18,33.17,12.71,4.06,14.64,20.93,20.74,7.55,53.65,16.3,17.97,23.09,17.55,15.47,22.6,15.51,39.58,26.88,11.12,11.38,12.74,16.11,7.69,9.49,10.09,11.96,10.18,14,23.35,10.59,12.87,10.82,7.98,10.03,9.01,8.31,5.97,6.04,11.7,39.59,16.62,13.2,12.38,12.47,13.78,9.28,12.72,13.88,7326
ENSG00000104388,RAB2A,COPI,Expressed in all,,Expressed in all,,43.93,28.91,27.55,57.48,45.11,34.39,43.49,68.67,34.57,45.23,50.57,44.97,44.9,26.26,40.31,26.23,29.4,10.29,39.67,50.18,44.67,24.66,21.26,33.77,37.28,40.72,26.19,38.57,26.64,77.86,27.55,52.29,35.79,24.33,28.94,22.75,9.34,29.19,31.39,25.66,25.42,20.94,31.92,22,19.66,17.07,17.9,22.48,25.5,17.57,12.31,27.81,23.4,27.71,20.84,17.91,14.86,19.47,19.26,26.22,23.1,27.36,5862
ENSG00000116663,FBXO6,Protein folding,Expressed in all,,Expressed in all,,4.61,9,7.78,2.91,4.35,8.16,3.8,6.82,12.56,4.5,7.44,3.4,3.73,3.59,8.03,12.94,4.48,2.43,2.09,5.72,4.69,5.73,3.96,4.19,5.06,5.29,9.42,5.66,5.75,4.31,7.83,7.94,5.22,10.22,3.84,6.69,11.46,6.1,5.77,5.73,6.62,5.13,6.21,4.58,4.43,6.44,6.54,8.8,5.44,5.16,6.8,5.25,8.2,6.76,6.98,6.33,12.08,7.41,13.69,5.94,4.76,6.04,26270
ENSG00000157985,AGAP1,Trafficking regulation,Expressed in all,,Mixed,,5.31,5.28,1.9,24.47,14.57,11.96,8.52,13.13,15.85,5.18,11.94,7.91,6.72,1.56,8.91,3.46,8.91,3.24,11.46,5.81,14.42,4.18,2.89,4.45,12.39,15.63,3.2,7.5,11,21.07,3.28,16.06,2.99,1.78,1.82,2.69,0.19,4.86,6.67,3.27,2.78,3.8,1.78,2.07,1.45,2.17,0.9,2.7,3.96,1.62,1.51,3.9,2.07,1.85,2.36,2.98,0.87,2.8,3.05,2.11,2.48,2.02,116987
ENSG00000134910,STT3A,ER glycosylation,Expressed in all,,Expressed in all,,35.31,43.18,17.18,17.34,45.85,33.14,61.36,25.18,63.81,29.78,41.3,21.21,35.06,26.62,34.91,29.71,60.48,14.01,53.63,53.34,54.84,39.44,4.05,23.29,34.12,54.82,30.43,41.61,46.21,84.25,45.08,48.98,15.17,18.43,16.3,15.57,5.06,8.28,6.5,19.29,27.47,17.19,11.96,21.18,10.06,10.05,15.97,20.3,16.45,23.88,21.39,17.29,16.18,4.42,12.01,15.29,17.05,16.05,14,21.62,23.59,20.86,3703
ENSG00000145979,TBC1D7,Trafficking regulation,Expressed in all,,Expressed in all,,7.48,8.85,12.45,9.63,11.39,10.23,7.44,9.69,6.23,6.24,9.62,17.84,15.13,5.39,5.8,10.9,3.59,1.55,11.54,10.89,13.18,4.2,3.96,8.49,8.65,8.46,7.07,6.48,13.04,6.82,12.62,10.23,1,1.41,1.01,1.04,1.63,1.41,1.45,1.39,1.07,1.46,1.5,0.85,1.93,1.68,1.07,1.4,1.47,0.87,0.65,1.39,1.55,0.79,1.53,1.23,1.45,1,2.23,1.03,1.01,1.25,51256
ENSG00000106367,AP1S1,Post-Golgi trafficking,Expressed in all,,Expressed in all,,11.28,10.99,2.4,49.01,20.67,21.71,8.3,8.68,11.6,8.18,10.55,3.16,16.78,7.66,8.09,9.32,8.05,2.31,12.93,16.21,15.82,6.93,1.41,12.27,19.04,8.94,9.03,13.21,9.22,10.8,10.18,13.28,9.79,19.77,7.04,17.38,4.95,14.04,42.78,14.04,13.69,29.33,19.82,11.2,4.77,33.43,12.22,12.25,9.94,10.72,9.46,25.12,16.81,2.33,26.73,21.67,16.37,14.54,16.04,12.39,12.56,15.03,1174
ENSG00000167130,DOLPP1,ER glycosylation,Expressed in all,,Expressed in all,,6.72,5.61,4.03,6.92,11.45,17.82,4.05,7.67,5.7,3.8,5.63,1.88,4.04,5.37,4.26,5.27,4.3,1.58,7.22,7.83,9.91,4.5,1.26,5.8,16.54,4.53,4.66,7.72,6.08,5.32,5.44,6.67,4.07,11.02,3.21,5.53,2.31,8.52,6.35,5.41,4.99,17.16,12.69,5.08,2.39,4.93,10.62,5.55,7.1,5,5.33,6.49,8.54,1.29,8.43,13.1,7.9,7.95,10.22,5.74,5.26,7.1,57171
ENSG00000148719,DNAJB12,Protein folding,Expressed in all,,Expressed in all,,17.34,14.97,12.76,12.41,13.45,15.24,13.68,13.7,16.92,15.13,16.81,10.93,12.78,6.7,16.66,13.1,13.79,5.87,18.02,14.98,11.77,13,7.23,15.49,14.43,15.54,16.52,13.8,15.75,17.3,12.74,15.43,11.13,13.35,9.24,9.52,8.55,11.07,6.24,12.81,11,9.28,8.6,10.52,7.27,9.82,6.84,10.63,15.33,11.4,7.42,13.57,12.95,8.43,12.91,9.65,12.26,9.99,14.35,12.38,11.09,9.82,54788
ENSG00000128590,DNAJB9,ERAD,Expressed in all,,Expressed in all,,46.16,18.2,18.98,17.08,15.04,16.04,20.49,9.82,17.87,13.71,19.56,21.35,41.9,35.41,15.84,16.05,20.63,10.47,32.35,25.35,14.6,17.42,5.19,4.54,14.88,16.65,12.43,18.45,30.87,68.37,23.12,24.09,15.58,25.48,18.13,10.78,6.81,10.98,16.39,18.16,26.78,11.68,7.65,23.04,23.1,15.8,54.89,22.7,14.09,19.23,42.22,51.4,18.16,18.44,8.58,12.96,14.98,15.52,26.01,21.18,16.32,14.29,4189
ENSG00000122126,OCRL,Trafficking regulation,Expressed in all,,Expressed in all,,24.53,6.12,5.09,11.87,11.89,9.29,17.07,10.24,13.39,9.68,10.4,3.83,8.5,4.19,7.64,3.59,30.33,2.96,9.98,20.42,14.52,4.88,2.35,9.56,9.23,17.1,5.61,8.58,32.41,19,4.44,13.8,10.9,17.28,10.78,18.8,0.86,12.43,10.95,10.96,12.26,11.69,7.17,15.63,5.2,6.38,6.09,8.43,11.47,22.41,5.75,23.86,14.42,5.94,9.22,9.72,6.32,10.09,26.61,14.44,14.29,10.02,4952
ENSG00000100564,PIGH,GPI biosynthesis,Expressed in all,,Expressed in all,,15.71,5.5,8.9,8.37,6.22,7.2,8.69,5.72,6.86,5.68,8.96,3.61,17.52,5.87,6.31,6.95,9.81,3.4,6.25,19.06,6.67,8.43,4.76,7.16,6.28,6.04,6.32,6.7,13.67,16.92,7.8,6.2,5.15,11.94,4.81,5.93,1.79,8.8,5.05,6.71,6.72,4.41,4.02,6.11,2.85,6.23,3.89,5.17,6.33,9.17,5.75,4.43,7.33,5.14,6.37,5.78,5.06,6.11,9.2,9.44,5.87,5.38,5283
ENSG00000118705,RPN2,ER glycosylation,Expressed in all,,Expressed in all,,92.75,107.67,87,45.35,109.77,88.27,92.02,73.27,112.07,74.49,104.48,46.02,94.72,68.79,90.78,83.31,71.33,21.91,187.87,136.77,131.57,68.76,17.53,60,80.66,115.41,78.57,94.48,137.23,184.28,105.85,128.47,65.71,114.35,70.78,71.98,34.43,29.97,26.28,78.12,89.31,79.04,68.5,85.76,50.24,63.39,71.67,106.83,70.17,72.81,63.94,66.56,81.41,41.26,59.32,76.58,100.8,77.77,112.75,105.32,79.41,81.82,6185
ENSG00000053501,USE1,COPI,Expressed in all,,Expressed in all,,17.06,13.59,12.38,18.74,11.02,11.5,11.5,12.88,18.68,15.09,18.51,16.42,12.93,7.24,14.51,20.66,20.59,5.1,15.19,12.91,8.92,14.98,9.81,12.35,9.66,12.44,19.68,14.53,9.78,16.83,14.97,19.08,8.28,10.77,6.39,7.77,4,9.03,10.17,7.82,9.17,6.96,5.87,7.2,6.66,8.28,6.47,8.12,7.64,9.36,7.07,7.77,9.38,5.92,6.82,7.87,13.94,7.59,7.98,8.62,8.21,7.47,55850
ENSG00000136770,DNAJC1,Protein folding,Expressed in all,,Expressed in all,,14.92,14.83,9.37,5.21,18,22.26,13.61,14.76,11.44,12.57,20.11,6.4,19.02,13.8,17.5,14.44,12.17,8.52,17.76,22.69,17.96,21.57,1.79,9.63,18.03,15.19,13.63,22.17,10.29,33.15,12.48,25.63,10.99,12.45,9.24,18.03,4.9,2.39,4.15,12.94,13.37,12.05,8.93,10,5.82,10,13.47,16.93,11.07,9.82,15.16,16.33,15.41,4.31,8.8,11.29,10.51,14.37,9,16.01,10.95,11.77,64215
ENSG00000148154,UGCG,Golgi glycosylation,Expressed in all,,Expressed in all,,57.05,32.36,57.11,10,15.96,18.37,15.62,26.08,13.35,21.3,41.54,4.03,20.51,14.34,17.29,36.02,10.07,3.68,21.87,11.44,15.12,3.36,1.01,16.91,25.13,17.65,23.95,32.7,8.34,6.19,39.65,37.95,16.34,23.76,7.08,13.83,15.11,7.62,6.07,16.95,11.52,9.79,22.77,13.4,5.71,13.62,5.59,18.87,11.08,7.06,6.13,8.71,11.86,3.5,19.9,14.65,21.9,17.9,5.22,7.86,8.49,16.54,7357
ENSG00000079332,SAR1A,COPII,Expressed in all,,Expressed in all,,42.11,34.26,51.18,33.82,29.84,19.49,38.14,29.03,33.07,59,34.74,23.92,34.87,28.94,43.04,29.78,33.06,7.23,59.64,39.41,29.08,19.16,13.54,23.34,21.73,42.78,29.88,27.39,23.78,36.51,32.31,36.56,40.84,31.4,24.53,21.86,12.99,21.54,17.32,28,27.81,19.52,18.93,27.92,17.43,17.03,16.9,35.24,30.45,25.96,12.43,26.76,25.62,16.77,23.92,22.07,26.42,20.67,15.93,28.4,26.12,24.65,56681
ENSG00000196547,MAN2A2,Golgi glycosylation,Expressed in all,,Expressed in all,,8.32,8.36,33.26,20.22,5.95,6.45,5.9,5.19,6.86,12.9,7.96,13.38,5.23,4.16,11.85,8.8,6.88,4.67,9.24,7.31,6.44,10.41,13.28,9.11,8.29,5.48,14.44,8.06,13.56,9.7,7.26,4.76,21.43,14.84,15.16,11.57,33.87,42.06,21.38,18.69,12.06,13.62,7.15,12.49,15.38,11.58,16.97,22.25,38.36,14.55,20,29.75,15.97,24.6,11.77,19.02,33.07,16.76,16.38,25,13.14,11.7,4122
ENSG00000108599,AKAP10,Trafficking regulation,Expressed in all,,Expressed in all,,12.18,12.13,5.75,10.66,8.29,7.55,12.05,12.23,11.48,8.02,10.71,4.14,10.03,2.66,9.84,14.01,12.48,1.87,9.28,9.49,10.17,4.7,1.71,6.76,8.04,11.71,12.49,7.5,14.99,14.43,10.86,13.97,8.17,9.1,7.24,8.81,6.09,8.15,6.78,9.46,8.6,6.32,5.77,7.73,3.29,5.69,3.1,8.12,9.03,8.17,3.68,5.96,8.37,2.68,6.4,7.5,11,7.32,10.34,9.7,8.26,7.52,11216
